iter	Passed	Remaining
0	2	242
1	4	215
2	6	211
3	9	226
4	12	236
5	15	245
6	18	244
7	22	260
8	24	248
9	27	244
10	29	242
11	33	246
12	36	241
13	38	234
14	40	230
15	44	233
16	50	245
17	54	246
18	58	251
19	61	247
20	63	239
21	68	241
22	72	242
23	74	235
24	76	229
25	79	225
26	83	225
27	85	219
28	87	215
29	89	209
30	93	207
31	96	204
32	98	200
33	100	195
34	103	191
35	106	189
36	109	185
37	110	180
38	112	175
39	114	171
40	117	169
41	119	165
42	121	161
43	122	156
44	124	152
45	126	149
46	129	145
47	132	143
48	133	139
49	135	135
50	137	132
51	140	129
52	143	127
53	145	124
54	147	120
55	149	117
56	151	113
57	153	111
58	156	108
59	158	105
60	160	102
61	162	99
62	164	96
63	167	94
64	171	92
65	173	89
66	175	86
67	177	83
68	180	81
69	182	78
70	184	75
71	186	72
72	188	69
73	190	67
74	193	64
75	195	61
76	197	58
77	198	56
78	200	53
79	202	50
80	204	48
81	206	45
82	208	42
83	210	40
84	212	37
85	214	34
86	217	32
87	219	29
88	222	27
89	224	24
90	226	22
91	229	19
92	233	17
93	236	15
94	238	12
95	240	10
96	242	7
97	245	5
98	246	2
99	249	0
